"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"20/06/2025 00:00:00 - 20/06/2025 01:00:00","BZN|MK","Without Sequence","125.00","",""
"20/06/2025 01:00:00 - 20/06/2025 02:00:00","BZN|MK","Without Sequence","117.10","",""
"20/06/2025 02:00:00 - 20/06/2025 03:00:00","BZN|MK","Without Sequence","117.50","",""
"20/06/2025 03:00:00 - 20/06/2025 04:00:00","BZN|MK","Without Sequence","117.10","",""
"20/06/2025 04:00:00 - 20/06/2025 05:00:00","BZN|MK","Without Sequence","115.10","",""
"20/06/2025 05:00:00 - 20/06/2025 06:00:00","BZN|MK","Without Sequence","111.70","",""
"20/06/2025 06:00:00 - 20/06/2025 07:00:00","BZN|MK","Without Sequence","112.10","",""
"20/06/2025 07:00:00 - 20/06/2025 08:00:00","BZN|MK","Without Sequence","104.10","",""
"20/06/2025 08:00:00 - 20/06/2025 09:00:00","BZN|MK","Without Sequence","81.10","",""
"20/06/2025 09:00:00 - 20/06/2025 10:00:00","BZN|MK","Without Sequence","47.10","",""
"20/06/2025 10:00:00 - 20/06/2025 11:00:00","BZN|MK","Without Sequence","9.10","",""
"20/06/2025 11:00:00 - 20/06/2025 12:00:00","BZN|MK","Without Sequence","5.40","",""
"20/06/2025 12:00:00 - 20/06/2025 13:00:00","BZN|MK","Without Sequence","8.10","",""
"20/06/2025 13:00:00 - 20/06/2025 14:00:00","BZN|MK","Without Sequence","21.50","",""
"20/06/2025 14:00:00 - 20/06/2025 15:00:00","BZN|MK","Without Sequence","40.00","",""
"20/06/2025 15:00:00 - 20/06/2025 16:00:00","BZN|MK","Without Sequence","65.00","",""
"20/06/2025 16:00:00 - 20/06/2025 17:00:00","BZN|MK","Without Sequence","85.30","",""
"20/06/2025 17:00:00 - 20/06/2025 18:00:00","BZN|MK","Without Sequence","105.00","",""
"20/06/2025 18:00:00 - 20/06/2025 19:00:00","BZN|MK","Without Sequence","132.10","",""
"20/06/2025 19:00:00 - 20/06/2025 20:00:00","BZN|MK","Without Sequence","165.60","",""
"20/06/2025 20:00:00 - 20/06/2025 21:00:00","BZN|MK","Without Sequence","197.30","",""
"20/06/2025 21:00:00 - 20/06/2025 22:00:00","BZN|MK","Without Sequence","181.00","",""
"20/06/2025 22:00:00 - 20/06/2025 23:00:00","BZN|MK","Without Sequence","140.60","",""
"20/06/2025 23:00:00 - 21/06/2025 00:00:00","BZN|MK","Without Sequence","124.10","",""
